"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","45","testCreateFindRemove()","","Sun Jan 11 05:56:17 UTC 2026","passed","Sun Jan 11 05:56:17 UTC 2026","","org.mindignited.continuum.internal.core.api.TestSessionManager","org.mindignited.continuum.internal.core.api.TestSessionManager","testCreateFindRemove"
"","4","testLastArgParticipant()","","Sun Jan 11 05:56:17 UTC 2026","passed","Sun Jan 11 05:56:17 UTC 2026","","org.mindignited.continuum.internal.core.api.RpcTests","org.mindignited.continuum.internal.core.api.RpcTests","testLastArgParticipant"
"","10","testMultipleRequests()","","Sun Jan 11 05:56:17 UTC 2026","passed","Sun Jan 11 05:56:17 UTC 2026","","org.mindignited.continuum.internal.core.api.RpcTests","org.mindignited.continuum.internal.core.api.RpcTests","testMultipleRequests"
"","33","should handle scoped vs unscoped services independently","Publish Mechanism","Sun Jan 11 06:00:24 UTC 2026","passed","Sun Jan 11 06:00:24 UTC 2026","","Method parsing and conflict avoidance","",""
"","10327","testSingleProducerMultiConsumer()","","Sun Jan 11 05:57:00 UTC 2026","passed","Sun Jan 11 05:57:10 UTC 2026","","org.mindignited.util.TestFluxFactory","org.mindignited.util.TestFluxFactory","testSingleProducerMultiConsumer"
"","90","should allow connection with session id","Continuum Client Tests","Sun Jan 11 06:00:24 UTC 2026","passed","Sun Jan 11 06:00:24 UTC 2026","","","",""
"","10","should process complex object without scope","Publish Mechanism","Sun Jan 11 06:00:24 UTC 2026","passed","Sun Jan 11 06:00:24 UTC 2026","Complex object handling","Error propagation","",""
"","5","testReverseCopyLarge()","","Sun Jan 11 05:57:00 UTC 2026","passed","Sun Jan 11 05:57:00 UTC 2026","","org.mindignited.util.FileUtilTests","org.mindignited.util.FileUtilTests","testReverseCopyLarge"
"","2230","testSimple()","","Sun Jan 11 05:56:47 UTC 2026","passed","Sun Jan 11 05:56:49 UTC 2026","","org.mindignited.continuum.grind.internal.api.TestJobService","org.mindignited.continuum.grind.internal.api.TestJobService","testSimple"
"","88","testPutListOfSimpleObjects()","","Sun Jan 11 05:56:16 UTC 2026","passed","Sun Jan 11 05:56:16 UTC 2026","","org.mindignited.continuum.internal.core.api.RpcTests","org.mindignited.continuum.internal.core.api.RpcTests","testPutListOfSimpleObjects"
"","31","send RPC call with disableStickySession","Disable Sticky Session Tests","Sun Jan 11 06:00:25 UTC 2026","passed","Sun Jan 11 06:00:25 UTC 2026","","","",""
"","6","testMonoWithVoidFromEmpty()","","Sun Jan 11 05:56:17 UTC 2026","passed","Sun Jan 11 05:56:17 UTC 2026","","org.mindignited.continuum.internal.core.api.RpcTests","org.mindignited.continuum.internal.core.api.RpcTests","testMonoWithVoidFromEmpty"
"","6","testLimitedFlux()","","Sun Jan 11 05:56:17 UTC 2026","passed","Sun Jan 11 05:56:17 UTC 2026","","org.mindignited.continuum.internal.core.api.RpcTests","org.mindignited.continuum.internal.core.api.RpcTests","testLimitedFlux"
"","9","testMissingServiceFailure()","","Sun Jan 11 05:56:17 UTC 2026","passed","Sun Jan 11 05:56:17 UTC 2026","","org.mindignited.continuum.internal.core.api.RpcTests","org.mindignited.continuum.internal.core.api.RpcTests","testMissingServiceFailure"
"","11","testAutowired()","","Sun Jan 11 05:56:47 UTC 2026","passed","Sun Jan 11 05:56:47 UTC 2026","","org.mindignited.continuum.grind.internal.api.TestJobService","org.mindignited.continuum.grind.internal.api.TestJobService","testAutowired"
"","11","testSimpleObject()","","Sun Jan 11 05:56:17 UTC 2026","passed","Sun Jan 11 05:56:17 UTC 2026","","org.mindignited.continuum.internal.core.api.RpcTests","org.mindignited.continuum.internal.core.api.RpcTests","testSimpleObject"
"","979","testSerializeDeserializeObjectC3Type()","","Sun Jan 11 05:57:15 UTC 2026","passed","Sun Jan 11 05:57:16 UTC 2026","","org.mindignited.continuum.idl.internal.TestIdl","org.mindignited.continuum.idl.internal.TestIdl","testSerializeDeserializeObjectC3Type"
"","21","testMonoIntegerNull()","","Sun Jan 11 05:56:12 UTC 2026","passed","Sun Jan 11 05:56:12 UTC 2026","","org.mindignited.continuum.internal.core.api.RpcTests","org.mindignited.continuum.internal.core.api.RpcTests","testMonoIntegerNull"
"","5","testRawCRI2()","","Sun Jan 11 05:56:04 UTC 2026","passed","Sun Jan 11 05:56:04 UTC 2026","","org.mindignited.continuum.internal.core.api.CRITests","org.mindignited.continuum.internal.core.api.CRITests","testRawCRI2"
"","27607","should connect to gateway and then fail after reconnection attempts after gateway is offline","Continuum Unavailable Tests","Sun Jan 11 06:00:39 UTC 2026","passed","Sun Jan 11 06:01:07 UTC 2026","","","",""
"","4","testFirstArgParticipant()","","Sun Jan 11 05:56:17 UTC 2026","passed","Sun Jan 11 05:56:17 UTC 2026","","org.mindignited.continuum.internal.core.api.RpcTests","org.mindignited.continuum.internal.core.api.RpcTests","testFirstArgParticipant"
"","10","should return missing service error","Continuum RPC Tests","Sun Jan 11 06:00:26 UTC 2026","passed","Sun Jan 11 06:00:26 UTC 2026","","","",""
"","27","should propagate synchronous error","Publish Mechanism","Sun Jan 11 06:00:24 UTC 2026","passed","Sun Jan 11 06:00:24 UTC 2026","Non-async errors without scope","Error propagation","",""
"","20","should propagate asynchronous error","Publish Mechanism","Sun Jan 11 06:00:24 UTC 2026","passed","Sun Jan 11 06:00:24 UTC 2026","Async errors without scope","Error propagation","",""
"","3","testMonoStringNull()","","Sun Jan 11 05:56:17 UTC 2026","passed","Sun Jan 11 05:56:17 UTC 2026","","org.mindignited.continuum.internal.core.api.RpcTests","org.mindignited.continuum.internal.core.api.RpcTests","testMonoStringNull"
"","27","should execute method with string parameter","Continuum RPC Tests","Sun Jan 11 06:00:26 UTC 2026","passed","Sun Jan 11 06:00:26 UTC 2026","","","",""
"","22","testSchemaFactory()","","Sun Jan 11 05:57:16 UTC 2026","passed","Sun Jan 11 05:57:16 UTC 2026","","org.mindignited.continuum.idl.internal.TestSchemaFactory","org.mindignited.continuum.idl.internal.TestSchemaFactory","testSchemaFactory"
"","187","should connect and disconnect","Continuum Client Tests","Sun Jan 11 06:00:24 UTC 2026","passed","Sun Jan 11 06:00:24 UTC 2026","","","",""
"","1230","testException()","","Sun Jan 11 05:56:45 UTC 2026","passed","Sun Jan 11 05:56:47 UTC 2026","","org.mindignited.continuum.grind.internal.api.TestJobService","org.mindignited.continuum.grind.internal.api.TestJobService","testException"
"","46","should invoke fetchData asynchronously","Publish Mechanism","Sun Jan 11 06:00:24 UTC 2026","passed","Sun Jan 11 06:00:24 UTC 2026","","Async methods without scope","",""
"","0","testEventStreamWriteWithKey()","","Sun Jan 11 05:56:17 UTC 2026","passed","Sun Jan 11 05:56:17 UTC 2026","","org.mindignited.continuum.internal.core.api.event.EventStreamServiceTest","org.mindignited.continuum.internal.core.api.event.EventStreamServiceTest","testEventStreamWriteWithKey"
"","36","should return missing method error","Continuum RPC Tests","Sun Jan 11 06:00:26 UTC 2026","passed","Sun Jan 11 06:00:26 UTC 2026","","","",""
"","79","should distinguish between methods with different names (no scope)","Publish Mechanism","Sun Jan 11 06:00:24 UTC 2026","passed","Sun Jan 11 06:00:24 UTC 2026","","Method parsing and conflict avoidance","",""
"","46","should invoke combine with scope synchronously","Publish Mechanism","Sun Jan 11 06:00:24 UTC 2026","passed","Sun Jan 11 06:00:24 UTC 2026","","Non-async methods with scope","",""
"","62","should propagate interceptor error","Context Injection","Sun Jan 11 06:00:24 UTC 2026","passed","Sun Jan 11 06:00:24 UTC 2026","","Context injection tests","",""
"","320","should connect and disconnect multiple times and still be able to call services","Continuum Client Tests","Sun Jan 11 06:00:24 UTC 2026","passed","Sun Jan 11 06:00:24 UTC 2026","","","",""
"","6","testMonoEmptyString()","","Sun Jan 11 05:56:12 UTC 2026","passed","Sun Jan 11 05:56:12 UTC 2026","","org.mindignited.continuum.internal.core.api.RpcTests","org.mindignited.continuum.internal.core.api.RpcTests","testMonoEmptyString"
"","6","testMonoWithValue()","","Sun Jan 11 05:56:17 UTC 2026","passed","Sun Jan 11 05:56:17 UTC 2026","","org.mindignited.continuum.internal.core.api.RpcTests","org.mindignited.continuum.internal.core.api.RpcTests","testMonoWithValue"
"","103","testVertxFuture()","","Sun Jan 11 05:56:17 UTC 2026","passed","Sun Jan 11 05:56:17 UTC 2026","","org.mindignited.continuum.internal.core.api.RpcTests","org.mindignited.continuum.internal.core.api.RpcTests","testVertxFuture"
"","8","testSendCollection()","","Sun Jan 11 05:56:17 UTC 2026","passed","Sun Jan 11 05:56:17 UTC 2026","","org.mindignited.continuum.internal.core.api.RpcTests","org.mindignited.continuum.internal.core.api.RpcTests","testSendCollection"
"","11","testPutMapOfSimpleObjects()","","Sun Jan 11 05:56:17 UTC 2026","passed","Sun Jan 11 05:56:17 UTC 2026","","org.mindignited.continuum.internal.core.api.RpcTests","org.mindignited.continuum.internal.core.api.RpcTests","testPutMapOfSimpleObjects"
"","24","testPutNestedGenerics()","","Sun Jan 11 05:56:17 UTC 2026","passed","Sun Jan 11 05:56:17 UTC 2026","","org.mindignited.continuum.internal.core.api.RpcTests","org.mindignited.continuum.internal.core.api.RpcTests","testPutNestedGenerics"
"","44","should allow continuum CLI to connect but not send any data","Continuum Client Tests","Sun Jan 11 06:00:24 UTC 2026","passed","Sun Jan 11 06:00:24 UTC 2026","","","",""
"","21","testUnknownFailure()","","Sun Jan 11 05:56:17 UTC 2026","passed","Sun Jan 11 05:56:17 UTC 2026","","org.mindignited.continuum.internal.core.api.RpcTests","org.mindignited.continuum.internal.core.api.RpcTests","testUnknownFailure"
"","10","should process list of complex objects without scope","Publish Mechanism","Sun Jan 11 06:00:24 UTC 2026","passed","Sun Jan 11 06:00:24 UTC 2026","Complex object handling","Error propagation","",""
"","21","should fail when too many arguments are provided to greet","Publish Mechanism","Sun Jan 11 06:00:24 UTC 2026","passed","Sun Jan 11 06:00:24 UTC 2026","Argument count mismatch","Error propagation","",""
"","18","testMiddleArgParticipant()","","Sun Jan 11 05:56:17 UTC 2026","passed","Sun Jan 11 05:56:17 UTC 2026","","org.mindignited.continuum.internal.core.api.RpcTests","org.mindignited.continuum.internal.core.api.RpcTests","testMiddleArgParticipant"
"","44","should invoke greet with scope synchronously","Publish Mechanism","Sun Jan 11 06:00:24 UTC 2026","passed","Sun Jan 11 06:00:24 UTC 2026","","Non-async methods with scope","",""
"","15","should process complex object with scope","Publish Mechanism","Sun Jan 11 06:00:24 UTC 2026","passed","Sun Jan 11 06:00:24 UTC 2026","Complex object handling","Error propagation","",""
"","54","should distinguish between methods with different names (with scope)","Publish Mechanism","Sun Jan 11 06:00:24 UTC 2026","passed","Sun Jan 11 06:00:24 UTC 2026","","Method parsing and conflict avoidance","",""
"","23","testMonoWithVoidFromNull()","","Sun Jan 11 05:56:12 UTC 2026","passed","Sun Jan 11 05:56:12 UTC 2026","","org.mindignited.continuum.internal.core.api.RpcTests","org.mindignited.continuum.internal.core.api.RpcTests","testMonoWithVoidFromNull"
"","19","testABunchOfArguments()","","Sun Jan 11 05:56:17 UTC 2026","passed","Sun Jan 11 05:56:17 UTC 2026","","org.mindignited.continuum.internal.core.api.RpcTests","org.mindignited.continuum.internal.core.api.RpcTests","testABunchOfArguments"
"","23","testMissingRemoteMethodFailure()","","Sun Jan 11 05:56:16 UTC 2026","passed","Sun Jan 11 05:56:17 UTC 2026","","org.mindignited.continuum.internal.core.api.RpcTests","org.mindignited.continuum.internal.core.api.RpcTests","testMissingRemoteMethodFailure"
"","22","should fail when too few arguments are provided to combine","Publish Mechanism","Sun Jan 11 06:00:24 UTC 2026","passed","Sun Jan 11 06:00:24 UTC 2026","Argument count mismatch","Error propagation","",""
"","4","testSendTwoArgsReturnOne()","","Sun Jan 11 05:56:17 UTC 2026","passed","Sun Jan 11 05:56:17 UTC 2026","","org.mindignited.continuum.internal.core.api.RpcTests","org.mindignited.continuum.internal.core.api.RpcTests","testSendTwoArgsReturnOne"
"","15","should propagate asynchronous error with scope","Publish Mechanism","Sun Jan 11 06:00:24 UTC 2026","passed","Sun Jan 11 06:00:24 UTC 2026","Async errors with scope","Error propagation","",""
"","6","testSendTokenBuffer()","","Sun Jan 11 05:56:17 UTC 2026","passed","Sun Jan 11 05:56:17 UTC 2026","","org.mindignited.continuum.internal.core.api.RpcTests","org.mindignited.continuum.internal.core.api.RpcTests","testSendTokenBuffer"
"","69","should invoke greet synchronously","Publish Mechanism","Sun Jan 11 06:00:24 UTC 2026","passed","Sun Jan 11 06:00:24 UTC 2026","","Non-async methods without scope","",""
"","62","should connect with disableStickySession and hard disconnect and reconnect","Disable Sticky Session Tests","Sun Jan 11 06:00:25 UTC 2026","passed","Sun Jan 11 06:00:25 UTC 2026","","","",""
"","4020","testInfiniteFlux()","","Sun Jan 11 05:56:12 UTC 2026","passed","Sun Jan 11 05:56:16 UTC 2026","","org.mindignited.continuum.internal.core.api.RpcTests","org.mindignited.continuum.internal.core.api.RpcTests","testInfiniteFlux"
"","22","testRawCRI1()","","Sun Jan 11 05:56:04 UTC 2026","passed","Sun Jan 11 05:56:04 UTC 2026","","org.mindignited.continuum.internal.core.api.CRITests","org.mindignited.continuum.internal.core.api.CRITests","testRawCRI1"
"","3","testReceiveCollection()","","Sun Jan 11 05:56:17 UTC 2026","passed","Sun Jan 11 05:56:17 UTC 2026","","org.mindignited.continuum.internal.core.api.RpcTests","org.mindignited.continuum.internal.core.api.RpcTests","testReceiveCollection"
"","100","should inject context with default realm","Context Injection","Sun Jan 11 06:00:24 UTC 2026","passed","Sun Jan 11 06:00:24 UTC 2026","","Context injection tests","",""
"","11","should fail invalid service request","Continuum RPC Tests","Sun Jan 11 06:00:26 UTC 2026","passed","Sun Jan 11 06:00:26 UTC 2026","","","",""
"","48","testReverseCopyMedium()","","Sun Jan 11 05:57:00 UTC 2026","passed","Sun Jan 11 05:57:00 UTC 2026","","org.mindignited.util.FileUtilTests","org.mindignited.util.FileUtilTests","testReverseCopyMedium"
"","34","should handle async context injection","Context Injection","Sun Jan 11 06:00:24 UTC 2026","passed","Sun Jan 11 06:00:24 UTC 2026","","Context injection tests","",""
"","32","should invoke multiArgs with scope asynchronously","Publish Mechanism","Sun Jan 11 06:00:24 UTC 2026","passed","Sun Jan 11 06:00:24 UTC 2026","","Async methods with scope","",""
